Step,Time,BoundaryID,BoundaryIntegral
0,0,0,2.368359e-08
0,0,1,1.436218e-06
0,0,2,1.436218e-06
0,0,3,1.436218e-06
0,0,4,1.436218e-06
0,0,5,2.368359e-08
2,2,0,2.368359e-08
2,2,1,1.436218e-06
2,2,2,1.436218e-06
2,2,3,1.436218e-06
2,2,4,1.436218e-06
2,2,5,2.368359e-08
4,4,0,2.368359e-08
4,4,1,1.436218e-06
4,4,2,1.436218e-06
4,4,3,1.436218e-06
4,4,4,1.436218e-06
4,4,5,2.368359e-08
5,5,0,2.368359e-08
5,5,1,1.436218e-06
5,5,2,1.436218e-06
5,5,3,1.436218e-06
5,5,4,1.436218e-06
5,5,5,2.368359e-08
6,6,0,2.368359e-08
6,6,1,1.436218e-06
6,6,2,1.436218e-06
6,6,3,1.436218e-06
6,6,4,1.436218e-06
6,6,5,2.368359e-08
8,8,0,2.368359e-08
8,8,1,1.436218e-06
8,8,2,1.436218e-06
8,8,3,1.436218e-06
8,8,4,1.436218e-06
8,8,5,2.368359e-08
10,10,0,2.368359e-08
10,10,1,1.436218e-06
10,10,2,1.436218e-06
10,10,3,1.436218e-06
10,10,4,1.436218e-06
10,10,5,2.368359e-08
12,12,0,2.368359e-08
12,12,1,1.436218e-06
12,12,2,1.436218e-06
12,12,3,1.436218e-06
12,12,4,1.436218e-06
12,12,5,2.368359e-08
14,14,0,2.368359e-08
14,14,1,1.436218e-06
14,14,2,1.436218e-06
14,14,3,1.436218e-06
14,14,4,1.436218e-06
14,14,5,2.368359e-08
15,15,0,2.368359e-08
15,15,1,1.436218e-06
15,15,2,1.436218e-06
15,15,3,1.436218e-06
15,15,4,1.436218e-06
15,15,5,2.368359e-08
16,16,0,2.368359e-08
16,16,1,1.436218e-06
16,16,2,1.436218e-06
16,16,3,1.436218e-06
16,16,4,1.436218e-06
16,16,5,2.368359e-08
18,18,0,2.368359e-08
18,18,1,1.436218e-06
18,18,2,1.436218e-06
18,18,3,1.436218e-06
18,18,4,1.436218e-06
18,18,5,2.368359e-08
20,20,0,2.368359e-08
20,20,1,1.436218e-06
20,20,2,1.436218e-06
20,20,3,1.436218e-06
20,20,4,1.436218e-06
20,20,5,2.368359e-08
